id,text,isAllDay,isRecommended,isSynced,idGoogleEvent,createdAt,updatedAt,endAt,startAt,idType
1319,Morning Routine,0,0,0,,2022-01-08 18:46:15.387,2022-01-08 18:46:15.387,2022-02-28 10:00:00,2022-02-28 08:00:00,127
1320,Morning Routine,0,0,0,,2022-01-08 18:46:15.4,2022-01-08 18:46:15.4,2022-03-01 10:00:00,2022-03-01 08:00:00,127
1321,Morning Routine,0,0,0,,2022-01-08 18:46:15.412,2022-01-08 18:46:15.412,2022-03-02 10:00:00,2022-03-02 08:00:00,127
1322,Morning Routine,0,0,0,,2022-01-08 18:46:15.425,2022-01-08 18:46:15.425,2022-03-03 10:00:00,2022-03-03 08:00:00,127
1323,Morning Routine,0,0,0,,2022-01-08 18:46:15.438,2022-01-08 18:46:15.438,2022-03-04 10:00:00,2022-03-04 08:00:00,127
1324,Morning Routine,0,0,0,,2022-01-08 18:46:15.45,2022-01-08 18:46:15.45,2022-03-05 10:00:00,2022-03-05 08:00:00,127
1325,Morning Routine,0,0,0,,2022-01-08 18:46:15.462,2022-01-08 18:46:15.462,2022-03-06 10:00:00,2022-03-06 08:00:00,127
1326,Morning Routine,0,0,0,,2022-01-08 18:46:15.475,2022-01-08 18:46:15.475,2022-03-07 10:00:00,2022-03-07 08:00:00,127
1327,Morning Routine,0,0,0,,2022-01-08 18:46:15.489,2022-01-08 18:46:15.489,2022-03-08 10:00:00,2022-03-08 08:00:00,127
1328,Morning Joy,0,0,0,,2022-03-09 14:27:15.973,2022-03-09 14:27:15.972,2022-03-08 08:00:00,2022-03-08 06:00:00,125
1329,Morning Joy,0,0,0,,2022-03-09 14:27:16.065,2022-03-09 14:27:16.065,2022-03-09 08:00:00,2022-03-09 06:00:00,125
1330,Morning Joy,0,0,0,,2022-03-09 14:27:16.074,2022-03-09 14:27:16.074,2022-03-10 08:00:00,2022-03-10 06:00:00,125
1331,Morning Joy,0,0,0,,2022-03-09 14:27:16.083,2022-03-09 14:27:16.083,2022-03-11 08:00:00,2022-03-11 06:00:00,125
1332,Morning Joy,0,0,0,,2022-03-09 14:27:16.091,2022-03-09 14:27:16.091,2022-03-14 09:00:00,2022-03-14 07:00:00,125
1333,Morning Joy,0,0,0,,2022-03-09 14:27:16.101,2022-03-09 14:27:16.101,2022-03-15 09:00:00,2022-03-15 07:00:00,125
1334,Morning Joy,0,0,0,,2022-03-09 14:27:16.11,2022-03-09 14:27:16.11,2022-03-16 09:00:00,2022-03-16 07:00:00,125
1335,Morning Joy,0,0,0,,2022-03-09 14:27:16.118,2022-03-09 14:27:16.118,2022-03-17 09:00:00,2022-03-17 07:00:00,125
1336,Morning Joy,0,0,0,,2022-03-09 14:27:16.127,2022-03-09 14:27:16.127,2022-03-18 09:00:00,2022-03-18 07:00:00,125
1337,Morning Joy,0,0,0,,2022-03-09 14:27:16.138,2022-03-09 14:27:16.138,2022-03-21 09:00:00,2022-03-21 07:00:00,125
