id,idType,idEndpoint,idMoment,idFlexibility,dateTiem,createdAt,updatedAt
187,80,84,87,25,2022-01-09 00:00:00,2022-01-08 14:13:32.965,2022-01-08 14:13:32.965
188,80,85,88,25,2022-01-08 08:00:00,2022-01-08 14:25:21.885,2022-01-08 14:25:21.885
189,80,84,88,25,2022-01-08 06:00:00,2022-01-08 14:25:21.884,2022-01-08 14:25:21.884
190,80,84,87,25,2022-01-09 00:00:00,2022-01-08 14:25:21.884,2022-01-08 14:25:21.884
191,81,84,89,25,2022-01-08 00:00:00,2022-01-08 16:16:01.183,2022-01-08 16:16:01.183
192,81,84,89,25,2022-01-08 00:00:00,2022-01-08 16:16:34.912,2022-01-08 16:16:34.912
195,80,84,87,25,2022-01-08 00:00:00,2022-01-08 18:08:15.393,2022-01-08 18:08:15.393
198,80,84,87,25,2022-01-08 00:00:00,2022-01-08 18:09:26.617,2022-01-08 18:09:26.617
201,80,84,87,25,2022-01-08 00:00:00,2022-01-08 18:09:31.263,2022-01-08 18:09:31.263
204,80,84,87,25,2022-01-08 00:00:00,2022-01-08 18:09:35.749,2022-01-08 18:09:35.749
207,80,84,87,25,2022-01-08 00:00:00,2022-01-08 18:09:39.882,2022-01-08 18:09:39.882
197,80,84,88,25,2022-01-08 21:00:00,2022-01-08 18:09:26.617,2022-01-08 18:44:22.141433
196,80,85,88,25,2022-01-08 22:00:00,2022-01-08 18:09:26.617,2022-01-08 18:44:22.141641
200,80,84,88,25,2022-01-08 21:00:00,2022-01-08 18:09:31.265,2022-01-08 18:44:33.525741
199,80,85,88,25,2022-01-08 22:00:00,2022-01-08 18:09:31.266,2022-01-08 18:44:33.526018
203,80,84,88,25,2022-01-08 21:00:00,2022-01-08 18:09:35.749,2022-01-08 18:44:44.233316
202,80,85,88,25,2022-01-08 22:00:00,2022-01-08 18:09:35.75,2022-01-08 18:44:44.233521
206,80,84,88,25,2022-01-08 21:00:00,2022-01-08 18:09:39.882,2022-01-08 18:44:55.590824
205,80,85,88,25,2022-01-08 22:00:00,2022-01-08 18:09:39.883,2022-01-08 18:44:55.591032
194,80,84,88,25,2022-01-08 21:00:00,2022-01-08 18:08:15.395,2022-01-08 18:45:29.622787
193,80,85,88,25,2022-01-08 22:00:00,2022-01-08 18:08:15.395,2022-01-08 18:45:29.622998
208,81,84,89,25,2022-01-08 00:00:00,2022-01-08 19:40:20.868,2022-01-08 19:40:20.868
209,81,84,89,25,2022-01-10 00:00:00,2022-01-10 11:23:16.644,2022-01-10 11:23:16.644
210,81,84,89,25,2022-01-11 00:00:00,2022-01-11 13:31:33.997,2022-01-11 13:31:33.997
211,81,84,89,25,2022-01-12 00:00:00,2022-01-12 09:32:23.147,2022-01-12 09:32:23.149
212,81,84,89,25,2022-01-14 00:00:00,2022-01-14 11:52:39.622,2022-01-14 11:52:39.622
213,81,84,89,25,2022-01-14 00:00:00,2022-01-14 11:52:55.109,2022-01-14 11:52:55.109
214,81,84,89,25,2022-01-15 00:00:00,2022-01-14 13:27:30.892,2022-01-14 13:27:30.892
215,80,85,87,25,2022-06-28 01:00:00,2022-01-16 14:05:58.232,2022-01-16 14:05:58.232
216,80,84,87,25,2022-01-11 00:00:00,2022-01-16 14:05:58.232,2022-01-16 14:05:58.232
217,80,85,87,25,2022-06-28 01:00:00,2022-01-16 14:22:57.568,2022-01-16 14:22:57.568
218,80,84,87,25,2022-01-16 00:00:00,2022-01-16 14:22:57.568,2022-01-16 14:22:57.568
219,80,85,87,25,2022-06-28 01:00:00,2022-01-16 14:23:23.762,2022-01-16 14:23:23.762
220,80,84,87,25,2022-01-16 00:00:00,2022-01-16 14:23:23.762,2022-01-16 14:23:23.762
221,80,85,87,25,2022-06-28 01:00:00,2022-01-16 14:24:45.928,2022-01-16 14:24:45.928
222,80,84,87,25,2022-01-16 00:00:00,2022-01-16 14:24:45.928,2022-01-16 14:24:45.928
223,80,85,87,25,2022-06-28 01:00:00,2022-01-16 14:24:57.975,2022-01-16 14:24:57.975
224,80,84,87,25,2022-01-16 00:00:00,2022-01-16 14:24:57.974,2022-01-16 14:24:57.974
225,80,85,87,25,2022-06-28 01:00:00,2022-01-16 14:25:15.18,2022-01-16 14:25:15.18
226,80,84,87,25,2022-01-16 00:00:00,2022-01-16 14:25:15.18,2022-01-16 14:25:15.18
227,80,85,87,25,2022-06-28 01:00:00,2022-01-16 14:25:28.908,2022-01-16 14:25:28.908
228,80,84,87,25,2022-01-16 00:00:00,2022-01-16 14:25:28.908,2022-01-16 14:25:28.908
229,80,85,87,25,2022-06-28 01:00:00,2022-01-16 14:25:53.784,2022-01-16 14:25:53.784
230,80,84,87,25,2022-01-16 00:00:00,2022-01-16 14:25:53.783,2022-01-16 14:25:53.783
231,81,84,89,25,2022-01-18 00:00:00,2022-01-18 09:19:06.704,2022-01-18 09:19:06.704
232,81,84,89,25,2022-01-19 00:00:00,2022-01-19 09:37:08.735,2022-01-19 09:37:08.735
233,80,85,87,25,2022-01-28 00:00:00,2022-01-24 11:13:37.324,2022-01-24 11:13:37.324
234,80,84,87,25,2022-01-24 00:00:00,2022-01-24 11:13:37.323,2022-01-24 11:13:37.323
235,80,85,87,25,2022-01-28 00:00:00,2022-01-24 11:16:45.932,2022-01-24 11:16:45.932
236,80,84,87,25,2022-01-24 00:00:00,2022-01-24 11:16:45.932,2022-01-24 11:16:45.932
237,80,85,87,25,2022-01-28 00:00:00,2022-01-24 11:17:25.295,2022-01-24 11:17:25.295
238,80,84,87,25,2022-01-24 00:00:00,2022-01-24 11:17:25.295,2022-01-24 11:17:25.295
239,80,85,87,25,2022-01-24 00:00:00,2022-01-24 11:17:33.786,2022-01-24 11:17:33.786
240,80,84,87,25,2022-01-24 00:00:00,2022-01-24 11:17:33.785,2022-01-24 11:17:33.785
241,80,85,87,25,2022-01-24 00:00:00,2022-01-24 11:20:31.228,2022-01-24 11:20:31.228
242,80,84,87,25,2022-01-24 00:00:00,2022-01-24 11:20:31.228,2022-01-24 11:20:31.228
243,80,85,87,25,2022-01-28 00:00:00,2022-01-24 11:21:48.947,2022-01-24 11:21:48.947
244,80,84,87,25,2022-01-24 00:00:00,2022-01-24 11:21:48.947,2022-01-24 11:21:48.947
245,80,85,87,25,2022-01-28 00:00:00,2022-01-24 11:22:53.581,2022-01-24 11:22:53.581
246,80,84,87,25,2022-01-24 00:00:00,2022-01-24 11:22:53.581,2022-01-24 11:22:53.581
247,80,85,87,25,2022-01-28 00:00:00,2022-01-24 11:24:01.851,2022-01-24 11:24:01.851
248,80,84,87,25,2022-01-24 00:00:00,2022-01-24 11:24:01.851,2022-01-24 11:24:01.851
249,80,85,87,25,2022-01-28 00:00:00,2022-01-24 11:29:09.188,2022-01-24 11:29:09.188
250,80,84,87,25,2022-01-24 00:00:00,2022-01-24 11:29:09.188,2022-01-24 11:29:09.188
251,80,85,87,25,2022-01-28 00:00:00,2022-01-24 11:29:19.268,2022-01-24 11:29:19.268
